PID   COMMAND          COMMAND
  266 qcrypto_seq_res  [qcrypto_seq_res]
  287 scsi_eh_0        [scsi_eh_0]
  288 scsi_tmf_0       [scsi_tmf_0]
  289 ufs_pm_qos_0     [ufs_pm_qos_0]
  290 ufs_clkscaling_  [ufs_clkscaling_]
  291 spi0             [spi0]
  294 spi6             [spi6]
  299 spi10            [spi10]
  304 spi11            [spi11]
  305 kworker/3:1      [kworker/3:1]
  308 usbnet           [usbnet]
  309 sharedmem_qmi_w  [sharedmem_qmi_w]
  310 qmi_hndl0000000  [qmi_hndl0000000]
  311 msm_ipc_router   [msm_ipc_router]
  315 k_gserial        [k_gserial]
  316 k_ipa_usb        [k_ipa_usb]
  317 uether           [uether]
  318 k_gbridge        [k_gbridge]
  319 irq/273-abov-to  [irq/273-abov-to]
  320 irq/332-sec_ts   [irq/332-sec_ts]
  321 msm_vidc_worker  [msm_vidc_worker]
  322 pm_workerq_venu  [pm_workerq_venu]
  323 irq/146-arm-smm  [irq/146-arm-smm]
  324 irq/147-arm-smm  [irq/147-arm-smm]
  325 irq/148-arm-smm  [irq/148-arm-smm]
  326 irq/149-arm-smm  [irq/149-arm-smm]
  327 kworker/u8:4     [kworker/u8:4]
  328 msm_cci_wq       [msm_cci_wq]
  329 msm_cci_wq       [msm_cci_wq]
  330 kworker/u8:5     [kworker/u8:5]
  331 kworker/u8:6     [kworker/u8:6]
  332 kworker/u8:7     [kworker/u8:7]
  333 kworker/u8:8     [kworker/u8:8]
  334 msm_cpp_workque  [msm_cpp_workque]
  335 irq/341-rtc6213  [irq/341-rtc6213]
  336 therm_core:noti  [therm_core:noti]
  337 therm_core:noti  [therm_core:noti]
  338 therm_core:noti  [therm_core:noti]
  339 therm_core:noti  [therm_core:noti]
  340 therm_core:noti  [therm_core:noti]
  341 therm_core:noti  [therm_core:noti]
  342 therm_core:noti  [therm_core:noti]
  343 therm_core:noti  [therm_core:noti]
  344 therm_core:noti  [therm_core:noti]
  345 therm_core:noti  [therm_core:noti]
  346 therm_core:noti  [therm_core:noti]
  347 therm_core:noti  [therm_core:noti]
  348 therm_core:noti  [therm_core:noti]
  349 irq/98-tsens_in  [irq/98-tsens_in]
  350 irq/99-tsens_cr  [irq/99-tsens_cr]
  351 therm_core:noti  [therm_core:noti]
  352 therm_core:noti  [therm_core:noti]
  353 therm_core:noti  [therm_core:noti]
  354 therm_core:noti  [therm_core:noti]
  355 therm_core:noti  [therm_core:noti]
  356 therm_core:noti  [therm_core:noti]
  357 therm_core:noti  [therm_core:noti]
  358 therm_core:noti  [therm_core:noti]
  359 irq/206-tsens_i  [irq/206-tsens_i]
  360 irq/207-tsens_c  [irq/207-tsens_c]
  361 therm_core:noti  [therm_core:noti]
  362 therm_core:noti  [therm_core:noti]
  363 therm_core:noti  [therm_core:noti]
  364 therm_core:noti  [therm_core:noti]
  365 therm_core:noti  [therm_core:noti]
  366 therm_core:noti  [therm_core:noti]
  367 therm_core:noti  [therm_core:noti]
  368 therm_core:noti  [therm_core:noti]
  369 dm_bufio_cache   [dm_bufio_cache]
  370 cfinteractive    [cfinteractive]
  371 irq/26-74a4900.  [irq/26-74a4900.]
  372 irq/25-mmc0      [irq/25-mmc0]
  373 irq/304-74a4900  [irq/304-74a4900]
  374 ovr_work         [ovr_work]
  375 binder           [binder]
  376 irq/10-spdm_bw_  [irq/10-spdm_bw_]
  377 coagent1         [coagent1]
  378 irq/523-jig-irq  [irq/523-jig-irq]
  379 therm_core:noti  [therm_core:noti]
  380 kworker/2:1H     [kworker/2:1H]
  381 max77854-charge  [max77854-charge]
  382 kworker/0:1H     [kworker/0:1H]
  383 p9220_workqueue  [p9220_workqueue]
  384 irq/524-wpd-det  [irq/524-wpd-det]
  385 mmcqd/0          [mmcqd/0]
  386 irq/336-wpc-irq  [irq/336-wpc-irq]
  387 irq/328-hrm_sen  [irq/328-hrm_sen]
  388 ss_vibrator      [ss_vibrator]
  389 vfsspi_debug_wq  [vfsspi_debug_wq]
  390 prox_wq          [prox_wq]
  391 maxdsm_wq        [maxdsm_wq]
  392 maxdsm_power_wq  [maxdsm_power_wq]
